north_america,south_america,europe,africa,asia,australia,antartica,uncategorised
English,nahuatl,bulgaria,Swahli,russian,Aboriginal,,esperanto
Athapascan,Brazilian,croatian,Zulu,arabic,,,latin
Sioux,Guarani,czech,Bambara,cantonese,,,Creoles and pidgins
Apache,Aymara,danish,Fulah,polynesian,,, Ancient (to 1453)
Pawnee,Quechua,dutch,Afrikaans,mandarin,,,Klingon
Mohawk,,english,Xhosa,hebrew,,,Ungwatsi
Inuktitut,,estonian,Mende,indonesian,,,
Cree,,finnish,,japanese,,,
Algonquin,,French,,hindi,,,
Arapaho,,german,,thai,,,
Tatar,,greek,,chinese,,,
,,hungarian,,turkish,,,
,,irish,,malay,,,
,,italian,,urdu,,,
,,latvian,,mongolian,,,
,,lithuanian,,vietnamese,,,
,,maltese,,korean,,,
,,polish,,burmese,,,
,,portuguese,,Armenian,,,
,,romanian,,Khmer,,,
,,slovak,,Nepali,,,
,,slovene,,Filipino,,,
,,spanish,,Kurdish,,,
,,swedish,,Sinhalese,,,
,,swiss german,,Persian,,,
,,ukranian,,Dari,,,
,,norwegian,,Azerbaijani,,,
,,neapolitan,,Hakka,,,
,,yiddsh,,Shanghainese,,,
,,serbo-croatian,,Lao,,,
,,Sicilian,,Hokkien,,,
,,Icelandic,,Tibetan,,,
,,Maltese,,Min Nan,,,
,,Belarusian,,Syriac,,,
,,Saami,,Assyrian Neo-Aramaic,,,
,,Scanian,,,,,
,,Faroese,,,,,
,,Occitan,,,,,
,,British,,,,,
,,Scottish Gaelic,,,,,
,,Chechen,,,,,
